city_code,city_name_en,city_name_hi,city_name_ar
BOC,Bocas Del Toro,बोकस डेल टोरो,
BOD,Bordeaux,बोर्डो,بوردو
BOG,Bogota,बोगोटा,بوغوتا
BOI,Boise,बोइसे,بويز
BOJ,Bourgas,बौरगास,بورجاس
BOM,Mumbai,मुंबई,مومباي
BON,Bonaire,बोनैरे,بونير
BOO,Bodo,बोडो,بودو
BOS,Boston,बोस्टान,بوسطن
BOY,Bobo Dioulasso,बोबो डायलसो,بوبو ديولاسو
BPE,Bagan,बागान,
BPG,"","",""
BPN,Balikpapan,बलिकपापन,باليكبابان
BPS,Porto Seguro,पोर्टो सेगुरो,بورتو سيغورو
BPT,Beaumont,बाउमेंट,بومونت
BPX,Bangda,बांगड़ा,بانغدا
BQG,"","",""
BQH,"","",""
SSI,Brunswick,ब्रंसविक,
BQN,Aguadilla,अगुआड़िल्ला,أجوديلا
BQS,Blagoveschensk,ब्लागोवेस्चेनसक,بلاغوفيشتشينسك
BRA,Barreiras,बार्रेयरस,
BRC,San Carlos De Bariloch,सॅन कार्लोस दे बेरिलॉक,سان كارلوس دي باريلوتشي
BRD,Brainerd,ब्रेनर्ड,برينرد
BRE,Bremen,ब्रेमेन,بريمن
BRI,Bari,बरी,باري
BRL,Burlington,बर्लिंगटन,برلنغتون
BRN,Berne,बर्न,برن
BRO,Brownsville,ब्रौनस्वील्ल,براونزفيل
BRQ,Turany,तुरानी,توراني
BRS,Bristol,ब्रिस्टल,بريستول
BRU,Brussels,ब्रसेल्स,بروكسل
BRW,Barrow,बॅरो,بارو
BSA,Bosaso,बोसासो,بوساسو
BSB,Brasilia,ब्रासीलिया,برازيليا
BSC,Bahia Solano,बाहीया सोलानो,
BSD,Baoshan,बाओशान,
BSG,Bata,बाटा,باتا
BSK,Biskra,बिस्क्रा,بسكرة
EAP,Mulhouse,मलहाउस,
BSO,Basco,बास्को,باسكو
BSR,Basrah,बसरा,البصرة
BST,Lashkar Gah,लश्कर गाह,
BTH,Batam,बेटम,باتام
BTJ,Banda Aceh,बांदा आचे,باندا آتشيه
BTK,Bratsk,ब्राट्स्क,
BTM,Butte,बियूट,بوتي
BTR,Baton Rouge,बेटॉन रूज,باتون روج
BTS,Bratislava,ब्रातिस्लावा,براتيسلافا
BTU,Bintulu,बिंतुलु,بينتولو
BTV,Burlington,बर्लिंगटन,برلنغتون
BUA,Buka Island,बुका आइलैंड,جزيرة بوكا
BUD,Budapest,बुडापेस्ट,بودابست
BUF,Buffalo,बफेलो,بوفالو
BUN,Buenaventura,बुएनवेंटूरा,بوينافينتورا
BUP,"","",""
BUR,Burbank,बरबंक,بوربانك
BUS,Batumi,बतुमि,باتومي
BUT,"","",""
BUX,Bunia,बुनिया,
BUZ,Bushehr,बुशेहर,بوشهر
PAR,Paris,पेरिस,باريس
BVB,Boa Vista,बोआ विस्टा,بوا فيستا
BVC,Boa Vista,बोआ विस्टा,بوا فيستا
BVH,Vilhena,विलहेना,
BWA,Bhairawa,भैरवा,بهايراهاوه
BWI,Baltimore,बाल्टीमोर,بالتيمور
BWK,Brac,ब्रॅक,براك
BWN,Bandar Seri Begawan,बंदर सेरी बेगावान,بندر سيري بيغاوان
BWT,Burnie,बर्नी,بورني
BXB,Babo,बाबो,
BXH,"","",""
BXU,Butuan,बूटुआन ,بوتوان
BXY,"","",""
BYC,"","",""
BYK,Bouake,बौआके,
BYM,Bayamo,बेयामो,
BYO,Bointo,बॉइंटो,
BZE,Belize City,बेलीझ सिटी,بيليز سيتي
BZG,Bydgoszcz,ब्यङ्गोस्ज़कज़ ,بيدغوستيا
BZK,"","",""
