carrier_code,publish_status,table_airline_name,table_url,yml_airline_name,yml_url
TV,active,Tibet Airlines,tibet-airlines,Tibet Airlines,tibet-airlines
TWI,active,Tailwind Hava Yollari A.S,tailwind-hava-yollari-as-airlines,Tailwind Hava Yollari A.S,tailwind-hava-yollari-as-airlines
TZS,active,Tca Airlines,tca-airlines,Tca Airlines,tca-airlines
U3,active,Sky Gates Airlines,sky-gates-airlines,Sky Gates Airlines,sky-gates-airlines
U4,active,Buddha Air,buddha-air-airlines,Buddha Air,buddha-air-airlines
U5,inactive,Karinou Airlines,,USA3000,usa3000-airlines
U7,active,Uniworld Air Cargo Corp.,uniworld-air-cargo-corp-airlines,Uniworld Air Cargo Corp.,uniworld-air-cargo-corp-airlines
U8,active,Tus Airways,tus-airways-airlines,Tus Airways,tus-airways-airlines
UB,active,Myanmar National Airlines,myanmar-national-airlines,Myanmar National Airlines,myanmar-national-airlines
UC,active,Latam Cargo Chile,latam-cargo-chile-airlines,Latam Cargo Chile,latam-cargo-chile-airlines
UDN,active,Dnieproavia Joint Stock Aviation Co,dnieproavia-joint-stock-aviation-co-airlines,Dnieproavia Joint Stock Aviation Co,dnieproavia-joint-stock-aviation-co-airlines
UE,active,Bizair Op By Ultimate Jetcharters Llc,bizair-op-by-ultimate-jetcharters-llc-airlines,Bizair Op By Ultimate Jetcharters Llc,bizair-op-by-ultimate-jetcharters-llc-airlines
UGS,active,Ska Air And Logistics (U),ska-air-and-logistics-u-airlines,Ska Air And Logistics (U),ska-air-and-logistics-u-airlines
UH,active,Aircompany Atlasjet Ukraine Llc,aircompany-atlasjet-ukraine-llc-airlines,Aircompany Atlasjet Ukraine Llc,aircompany-atlasjet-ukraine-llc-airlines
UI,active,Auric Air,auric-air-airlines,Auric Air,auric-air-airlines
UK,inactive,Vistara,,Vistara Airlines,vistara-airlines
UKM,active,Ukrainian Mediterranean Airlines,ukrainian-mediterranean-airlines,Ukrainian Mediterranean Airlines,ukrainian-mediterranean-airlines
UN,inactive,Business Aviation Asia,,Transaero Airlines,transaero-airlines
UQ,active,Urumqi Airlines,urumqi-airlines,Urumqi Airlines,urumqi-airlines
UT,inactive,Utair Aviation,,UTair,utair-airlines
UV,active,Universal Airways,universal-airways-airlines,"Universal Airways, Inc.",universal-airways-inc-airlines
UW,active,Uni Top Airlines,uni-top-airlines,Uni Top Airlines,uni-top-airlines
UY,active,Sky Pearl,sky-pearl-airlines,Sky Pearl,sky-pearl-airlines
UZ,active,Buraq Air,buraq-air-airlines,Buraq Air,buraq-air-airlines
V2,active,Avialeasing Aviation Co,avialeasing-aviation-co-airlines,Avialeasing Aviation Co,avialeasing-aviation-co-airlines
V4,inactive,Vieques Air Link,,Vensecar Internacional,vensecar-internacional-airlines
V5,inactive,Aerovias Dap S.A.,,Aerovias Dap S.A.,aerovias-dap-sa-airlines
V6,active,Vi Airlink,vi-airlink-airlines,Vi Airlink,vi-airlink-airlines
V7,inactive,Volotea,,Air Senegal Intl,air-senegal-intl-airlines
V8,inactive,Iliamna Air Taxi,,Atran,atran-airlines
V9,inactive,Citywing,,Van Air Europe,van-air-europe-airlines
VAS,active,Atran,atran-airlines,Atran,atran-airlines
VC,active,Viaair,viaair-airlines,Viaair,viaair-airlines
VE,active,Easyfly S. A.,easyfly-s-a-airlines,Easyfly S. A.,easyfly-s-a-airlines
VF,inactive,Flyviking,,Valuair Ltd.,valuair-ltd-airlines
VI,active,Volga Dnepr Airlines,volga-dnepr-airlines,Volga Dnepr Airlines,volga-dnepr-airlines
VIT,active,Pt Aviastar Mandiri,pt-aviastar-mandiri-airlines,Pt Aviastar Mandiri,pt-aviastar-mandiri-airlines
VL,active,Med View Airlines (Nig) Ltd,med-view-nig-ltd-airlines,Med View Airlines (Nig) Ltd,med-view-nig-ltd-airlines
VM,active,Max Air,,Max Air,max-air-airlines
VNE,active,Ravsa Venezolana,ravsa-venezolana-airlines,Ravsa Venezolana,ravsa-venezolana-airlines
VO,active,Vlm Airlines D.D.,vlm-dd-airlines,Vlm Airlines D.D.,vlm-dd-airlines
VP,inactive,Flyme,,VASP Viação Aérea São Paulo,vasp-viao-area-so-paulo-airlines
VQ,active,Novoair,novoair-airlines,Novoair,novoair-airlines
VR,active,Tacv Cabo Verde Airlines,tacv-cabo-verde-airlines,Tacv Cabo Verde Airlines,tacv-cabo-verde-airlines
VTU,active,Turpial Airlines,turpial-airlines,Turpial Airlines,turpial-airlines
VU,active,Veca Airlines,veca-airlines,Veca Airlines,veca-airlines
VUR,active,Vip S.A.,vip-sa-airlines,Vip S.A.,vip-sa-airlines
VV,inactive,Viva Airlines Peru S.A.C.,,AeroSvit  Airlines,aerosvit-airlines
VVC,active,Vivacolombia,vivacolombia-airlines,Vivacolombia,vivacolombia-airlines
VZ,active,Thai Vietjet Air,thai-vietjet-air-airlines,Thai Vietjet Air,thai-vietjet-air-airlines
W1,active,World Ticket Ltd,world-ticket-ltd-airlines,World Ticket Ltd,world-ticket-ltd-airlines
W7,active,Nakhal Tours,nakhal-tours-airlines,Nakhal Tours,nakhal-tours-airlines
W8,active,Cargojet Airways Ltd.,cargojet-airways-ltd-airlines,Cargojet Airways Ltd.,cargojet-airways-ltd-airlines
WA,active,Klm Cityhopper,klm-cityhopper-airlines,Klm Cityhopper,klm-cityhopper-airlines
WD,active,Modern Transtport Aereo De Caarga Sa,modern-transtport-aereo-de-caarga-sa-airlines,Modern Transtport Aereo De Caarga Sa,modern-transtport-aereo-de-caarga-sa-airlines
WDL,active,Wdl Aviation,wdl-aviation-airlines,Wdl Aviation,wdl-aviation-airlines
WE,active,Thai Smile Airways,thai-smile-airways-airlines,Thai Smile Airways,thai-smile-airways-airlines
WI,active,White Airways S.A.,white-airways-sa-airlines,White Airways S.A.,white-airways-sa-airlines
WK,active,Edelweiss Air,edelweiss-air-airlines,Edelweiss Air,edelweiss-air-airlines
WL,active,World Atlantic Airlines,world-atlantic-airlines,World Atlantic Airlines,world-atlantic-airlines
WM,inactive,Windward Island Airways International,,Windward Is Intl,windward-is-intl-airlines
WN,active,Southwest Airlines,southwest-airlines,Southwest Airlines,southwest-airlines
WQ,active,Swift Air L.L.C.,swift-air-llc-airlines,Swift Air L.L.C.,swift-air-llc-airlines
WR,inactive,Westjet Encore,,Aviaprad  Airlines,aviaprad-airlines
WSF,active,Westair Benin,westair-benin-airlines,Westair Benin,westair-benin-airlines
WSG,active,Wasaya Airways Lp,wasaya-airways-lp-airlines,Wasaya Airways Lp,wasaya-airways-lp-airlines
WST,active,Western Air,western-air-airlines,Western Air,western-air-airlines
WT,inactive,Swiftair,,Wasaya Airways,wasaya-airways-airlines
WV,active,Aero Vip,aero-vip-airlines,Aero Vip,aero-vip-airlines
WW,inactive,Wow Air,,bmiBaby,bmibaby-airlines
WX,active,City Jet,city-jet-airlines,City Jet,city-jet-airlines
WY,inactive,Oman Air,,Oman Air,oman-air-airlines
WZ,active,Red Wings Airlines,red-wings-airlines,Red Wings Airlines,red-wings-airlines
X4,active,Air Excursions,air-excursions-airlines,"Air Excursions, Llc",air-excursions-llc-airlines
X5,active,Air Europa Express,air-europa-express-airlines,Air Europa Express,air-europa-express-airlines
X8,active,Airmax Cargo S.A,airmax-cargo-sa-airlines,Airmax Cargo S.A,airmax-cargo-sa-airlines
XC,active,Corendon Airlines,corendon-airlines,Corendon Airlines,corendon-airlines
XE,inactive,Jetsuitex,,ExpressJet  Airlines,expressjet-airlines
XG,inactive,Sunexpress Deutschland Gmbh,,Sunexpress Deutschland Gmbh,sunexpress-deutschland-gmbh-airlines
XJ,active,Thai Air Asia X,thai-air-asia-x-airlines,Thai Air Asia X,thai-air-asia-x-airlines
XLL,active,Air Excel,air-excel-airlines,Air Excel,air-excel-airlines
XM,active,Zimex Aviation,zimex-aviation-airlines,Zimex Aviation,zimex-aviation-airlines
XN,active,Xpress Air,xpress-air-airlines,Xpress Air,xpress-air-airlines
XO,active,Seair International,seair-international-airlines,Seair International,seair-international-airlines
XP,active,Xtra Airways,xtra-airways-airlines,Xtra Airways,xtra-airways-airlines
XR,active,Corendon Airlines Europe,corendon-europe-airlines,Corendon Airlines Europe,corendon-europe-airlines
XT,active,Indonesia Airasia X,indonesia-airasia-x-airlines,Indonesia Airasia X,indonesia-airasia-x-airlines
XW,active,Nokscoot Airlines Co Ltd,nokscoot-co-ltd-airlines,Nokscoot Airlines Co Ltd,nokscoot-co-ltd-airlines
XZ,active,South African Express Airways,south-african-express-airways-airlines,South African Express Airways,south-african-express-airways-airlines
Y2,active,Air Century,air-century-airlines,Air Century,air-century-airlines
Y7,active,Nordstar,nordstar-airlines,Nordstar,nordstar-airlines
Y8,active,Yangtze River Airlines,yangtze-river-airlines,Yangtze River Airlines,yangtze-river-airlines
YB,active,Borajet,borajet-airlines,Borajet,borajet-airlines
YD,active,Synergy Aviation,synergy-aviation-airlines,Synergy Aviation,synergy-aviation-airlines
YE,active,Yanair,yanair-airlines,Yanair,yanair-airlines
YG,active,Yto Cargo Airlines Co. Ltd,yto-cargo-co-ltd-airlines,Yto Cargo Airlines Co. Ltd,yto-cargo-co-ltd-airlines
YH,active,Yangon Airways,yangon-airways-airlines,Yangon Airways,yangon-airways-airlines
YK,inactive,Avia Traffic Company,,Cyprus Turkish,cyprus-turkish-airlines
YL,active,Libyan Wings,libyan-wings-airlines,Libyan Wings,libyan-wings-airlines
YP,active,Perimeter Aviation Ltd,perimeter-aviation-ltd-airlines,Perimeter Aviation Ltd,perimeter-aviation-ltd-airlines
YQ,inactive,Tar Aerolineas,,Polet Airlines,polet-airlines
YR,inactive,Scenic Airlines,,Grand Canyon Airlines,grand-canyon-airlines
YS,active,Hop! Regional,hop-regional-airlines,Hop! Regional,hop-regional-airlines
YU,active,Euroatlantic Airways,euroatlantic-airways-airlines,Euroatlantic Airways,euroatlantic-airways-airlines
YW,active,Air Nostrum,air-nostrum-airlines,Air Nostrum,air-nostrum-airlines
YX,inactive,Republic Airline Inc,,Midwest,midwest-airlines
Z3,inactive,Tanana Air Service,,Avient Aviation,avient-aviation-airlines
Z4,active,Zagrosjet,zagrosjet-airlines,Zagrosjet,zagrosjet-airlines
Z5,inactive,Global Africa Aviation,,GMG Airlines Ltd.,gmg-ltd-airlines
